id,query,entities,relations
793,Are there any studies from the University of Lausanne focusing on a new frameless stereotactic technology in the context of Ionization chamber?,"{'A': {'type': ['institution'], 'lexical': {'name': 'University of Lausanne'}, 'semantic': [], 'constant': True}, 'B': {'type': ['field_of_study'], 'lexical': {'name': 'Ionization chamber'}, 'semantic': [], 'constant': True}, 'C': {'type': ['field_of_study'], 'lexical': {'name': 'frameless stereotactic technology'}, 'semantic': [], 'constant': True}, 'ANSWER': {'type': ['paper'], 'lexical': {}, 'semantic': ['studies', 'new frameless stereotactic technology', 'context of Ionization chamber'], 'constant': False}}","{('A', 'ANSWER'): ['affiliated_with'], ('ANSWER', 'B'): ['has_topic'], ('ANSWER', 'C'): ['has_topic']}"
7777,"Can you find more publications from the authors of ""Circular dichroism of a tilted U-shaped nanostructure"" that introduce novel metamaterials to manipulate optical transmission asymmetry?","{'A': {'type': ['paper'], 'lexical': {'title': 'Circular dichroism of a tilted U-shaped nanostructure'}, 'semantic': [], 'constant': True}, 'B': {'type': ['author'], 'lexical': {}, 'semantic': ['authors of Circular dichroism of a tilted U-shaped nanostructure'], 'constant': False}, 'C': {'type': ['field_of_study'], 'lexical': {}, 'semantic': ['novel metamaterials', 'optical transmission asymmetry'], 'constant': False}, 'ANSWER': {'type': ['paper'], 'lexical': {}, 'semantic': ['publications from the authors of Circular dichroism of a tilted U-shaped nanostructure', 'introduce novel metamaterials to manipulate optical transmission asymmetry'], 'constant': False}}","{('A', 'B'): ['writes'], ('B', 'ANSWER'): ['writes'], ('ANSWER', 'C'): ['has_topic']}"
2493,Are there any publications by Omsk State Transport University scholars on errors in Kramers' nuclear fission formulas?,"{'A': {'type': ['institution'], 'lexical': {'name': 'Omsk State Transport University'}, 'semantic': [], 'constant': True}, 'B': {'type': ['author'], 'lexical': {}, 'semantic': ['Omsk State Transport University scholars'], 'constant': False}, 'C': {'type': ['field_of_study'], 'lexical': {'name': ""Kramers' nuclear fission formulas""}, 'semantic': [""errors in Kramers' nuclear fission formulas""], 'constant': True}, 'ANSWER': {'type': ['paper'], 'lexical': {}, 'semantic': ['publications', ""errors in Kramers' nuclear fission formulas"", 'Omsk State Transport University scholars'], 'constant': False}}","{('A', 'B'): ['affiliated_with'], ('B', 'ANSWER'): ['writes'], ('ANSWER', 'C'): ['has_topic']}"
1682,"Find publications by coauthors of ""Thompson scattering in high-intensity chirped laser pulses"" which also explore the impact of spin on magnetic fields.","{'A': {'type': ['paper'], 'lexical': {'title': 'Thompson scattering in high-intensity chirped laser pulses'}, 'semantic': [], 'constant': True}, 'B': {'type': ['author'], 'lexical': {}, 'semantic': ['coauthors of Thompson scattering in high-intensity chirped laser pulses'], 'constant': False}, 'C': {'type': ['field_of_study'], 'lexical': {}, 'semantic': ['impact of spin on magnetic fields'], 'constant': False}, 'ANSWER': {'type': ['paper'], 'lexical': {}, 'semantic': ['publications by coauthors of Thompson scattering in high-intensity chirped laser pulses', 'explore the impact of spin on magnetic fields'], 'constant': False}}","{('B', 'A'): ['writes'], ('B', 'ANSWER'): ['writes'], ('ANSWER', 'C'): ['has_topic']}"
7275,"Can you locate 2015 papers that compare photodetectors, which are referenced in ""A systematic characterization of the low-energy photon response of plastic scintillation detectors""?","{'A': {'type': ['paper'], 'lexical': {'title': 'A systematic characterization of the low-energy photon response of plastic scintillation detectors'}, 'semantic': [], 'constant': True}, 'B': {'type': ['field_of_study'], 'lexical': {'name': 'photodetectors'}, 'semantic': [], 'constant': True}, 'ANSWER': {'type': ['paper'], 'lexical': {}, 'semantic': ['2015 papers', 'compare photodetectors'], 'constant': False}}","{('A', 'B'): ['has_topic'], ('A', 'ANSWER'): ['cites'], ('ANSWER', 'B'): ['has_topic']}"
1920,Show me publications by B. Spruck focusing on hyperon production research.,"{'A': {'type': ['author'], 'lexical': {'name': 'B. Spruck'}, 'semantic': [], 'constant': True}, 'B': {'type': ['field_of_study'], 'lexical': {'name': 'hyperon production research'}, 'semantic': [], 'constant': True}, 'ANSWER': {'type': ['paper'], 'lexical': {}, 'semantic': ['publications by B. Spruck', 'hyperon production research'], 'constant': False}}","{('A', 'ANSWER'): ['writes'], ('ANSWER', 'B'): ['has_topic']}"
3587,Show me publications by P. A. Khilo related to beam generation.,"{'A': {'type': ['author'], 'lexical': {'name': 'P. A. Khilo'}, 'semantic': [], 'constant': True}, 'B': {'type': ['field_of_study'], 'lexical': {'name': 'beam generation'}, 'semantic': [], 'constant': True}, 'ANSWER': {'type': ['paper'], 'lexical': {}, 'semantic': ['publications by P. A. Khilo related to beam generation'], 'constant': False}}","{('A', 'ANSWER'): ['writes'], ('ANSWER', 'B'): ['has_topic']}"
4318,Does any Optics literature from Yokogawa Electric talk about a record-breaking breakdown voltage for diamond field-effect transistors when they were published?,"{'A': {'type': ['institution'], 'lexical': {'name': 'Yokogawa Electric'}, 'semantic': [], 'constant': True}, 'B': {'type': ['field_of_study'], 'lexical': {'name': 'Optics'}, 'semantic': [], 'constant': True}, 'C': {'type': ['field_of_study'], 'lexical': {'name': 'diamond field-effect transistors'}, 'semantic': [], 'constant': True}, 'ANSWER': {'type': ['paper'], 'lexical': {}, 'semantic': ['record-breaking breakdown voltage', 'Optics literature', 'published'], 'constant': False}}","{('A', 'ANSWER'): ['affiliated_with'], ('B', 'ANSWER'): ['has_topic'], ('C', 'ANSWER'): ['has_topic']}"
4412,Does any research from Wheelock College delve into the study of offset bars in late-type galaxies in the discipline of Astrophysics?,"{'A': {'type': ['institution'], 'lexical': {'name': 'Wheelock College'}, 'semantic': [], 'constant': True}, 'B': {'type': ['field_of_study'], 'lexical': {'name': 'Astrophysics'}, 'semantic': [], 'constant': True}, 'C': {'type': ['field_of_study'], 'lexical': {'name': 'late-type galaxies'}, 'semantic': [], 'constant': True}, 'D': {'type': ['field_of_study'], 'lexical': {'name': 'offset bars'}, 'semantic': [], 'constant': True}, 'ANSWER': {'type': ['paper', 'research'], 'lexical': {}, 'semantic': ['study of offset bars in late-type galaxies', 'discipline of Astrophysics', 'research from Wheelock College'], 'constant': False}}","{('A', 'ANSWER'): ['affiliated_with'], ('ANSWER', 'B'): ['has_topic'], ('ANSWER', 'C'): ['has_topic'], ('ANSWER', 'D'): ['has_topic']}"
7989,Show me papers published by co-authors of 'Will organic thermoelectrics get hot' that also explore the subject of magnetoplasmonic systems.,"{'A': {'type': ['paper'], 'lexical': {'title': 'Will organic thermoelectrics get hot'}, 'semantic': [], 'constant': True}, 'B': {'type': ['author'], 'lexical': {}, 'semantic': [""co-authors of 'Will organic thermoelectrics get hot'""], 'constant': False}, 'C': {'type': ['field_of_study'], 'lexical': {'name': 'magnetoplasmonic systems'}, 'semantic': [], 'constant': True}, 'ANSWER': {'type': ['paper'], 'lexical': {}, 'semantic': [""published by co-authors of 'Will organic thermoelectrics get hot'"", 'explore the subject of magnetoplasmonic systems'], 'constant': False}}","{('B', 'A'): ['writes'], ('B', 'ANSWER'): ['writes'], ('ANSWER', 'C'): ['has_topic']}"
