id,ground_truths,query,original_answers,reranked_answers
5322,"[1639621, 1276149, 1317622]",Publications on plasma properties and experimental results by authors affiliated with E. O. Paton Electric Welding Institute,"[1222568, 1639621, 1276149, 1317622, 1665788, 1284211, 1502794, 1693447, 1391350, 1311799, 1222858, 1488148, 1464953, 1442048, 1173006, 1363248, 1392358, 1243700, 1237138, 1554793]","[1276149, 1639621, 1317622, 1488148, 1392358, 1243700, 1237138, 1554793, 1222568, 1665788, 1284211, 1502794, 1693447, 1391350, 1311799, 1222858, 1464953, 1442048, 1173006, 1363248]"
9448,[1627431],List of papers on spectroscopic detection of fluoride levels in Strontium fluoride.,"[1272424, 1484765, 1456165, 1391398, 1508875, 1704839, 1398582, 1613411, 1289305, 1540914, 1318080, 1606380, 1436249, 1215759, 1361653, 1284990, 1642277, 1401944, 1524888, 1627431]","[1540914, 1318080, 1606380, 1436249, 1215759, 1361653, 1284990, 1642277, 1401944, 1524888, 1627431, 1272424, 1484765, 1456165, 1391398, 1508875, 1704839, 1398582, 1613411, 1289305]"
2637,[1208605],Search for papers by Katharina Brassat on the self-assembly mechanisms in nanosphere suspensions.,"[1208605, 1770049, 1337755, 1294493, 1354196, 1702419, 1442535, 1469922, 1509887, 1775842, 1723483, 1185822, 1466205, 1460818, 1394570, 1418972, 1617242, 1355659, 1492625, 1260652]","[1208605, 1770049, 1469922, 1509887, 1723483, 1185822, 1466205, 1460818, 1394570, 1418972, 1617242, 1355659, 1492625, 1260652, 1337755, 1294493, 1354196, 1702419, 1442535, 1775842]"
2026,"[1340872, 1484524]",Show me papers by Bart V. Beeman on pulsed power diagnostic systems.,"[1448970, 1340872, 1577583, 1385337, 1410469, 1552049, 1333035, 1543337, 1744735, 1680980, 1442170, 1484524, 1578747, 1660729, 1666197, 1382875, 1279901, 1756327, 1185218, 1353123]","[1340872, 1410469, 1552049, 1333035, 1543337, 1744735, 1680980, 1442170, 1484524, 1578747, 1660729, 1666197, 1382875, 1279901, 1756327, 1185218, 1353123, 1448970, 1577583, 1385337]"
8610,"[1387785, 1614532]",Are there any research papers from Gebze Institute of Technology focusing on the absorption cross section that discuss the optical limiting properties of materials?,"[1387785, 1614532, 1254450, 1282252, 1180998, 1336506, 1487625, 1542196, 1784259, 1530095, 1630126, 1267344, 1326461, 1463220, 1331474, 1630354, 1801921, 1652810, 1684174, 1366883]","[1387785, 1614532, 1254450, 1282252, 1180998, 1336506, 1487625, 1542196, 1784259, 1530095, 1630126, 1267344, 1326461, 1463220, 1331474, 1630354, 1801921, 1652810, 1684174, 1366883]"
4655,"[1678737, 1817747]",Which publications from the Sukachev Institute of Forest address the topic of spin crossover in materials subjected to high pressure conditions?,"[1396374, 1817747, 1777018, 1404210, 1462119, 1185991, 1351374, 1748396, 1460578, 1841308, 1658661, 1504177, 1370990, 1267392, 1337759, 1420886, 1802670, 1378756, 1858277, 1289634]","[1396374, 1817747, 1777018, 1404210, 1462119, 1185991, 1351374, 1748396, 1460578, 1841308, 1658661, 1504177, 1370990, 1267392, 1337759, 1420886, 1802670, 1378756, 1858277, 1289634]"
12461,[1613791],"Find articles by the authors of ""Simulation on Boron Concentration Profile in Silicon Introduced by Plasma Doping"" that discuss plasma doping simulation.","[1613791, 1712175, 1201570, 1533625, 1800789, 1455427, 1266488, 1395279, 1402046, 1846545, 1538124, 1625064, 1462883, 1485664, 1775967, 1623902, 1745434, 1259949, 1200126, 1395434]","[1613791, 1712175, 1800789, 1455427, 1266488, 1395279, 1402046, 1625064, 1462883, 1485664, 1775967, 1623902, 1745434, 1259949, 1200126, 1395434, 1201570, 1533625, 1846545, 1538124]"
2314,[1502851],2015 publications from the National Aviation Academy on gamma-ray measurements results,"[1607582, 1383514, 1844761, 1260879, 1691129, 1722647, 1290438, 1514022, 1473710, 1694297, 1244788, 1557417, 1811528, 1735555, 1796743, 1829642, 1487687, 1523104, 1659983, 1717950]","[1607582, 1383514, 1844761, 1260879, 1691129, 1722647, 1290438, 1514022, 1473710, 1694297, 1244788, 1557417, 1811528, 1735555, 1796743, 1829642, 1487687, 1523104, 1659983, 1717950]"
7917,"[1613169, 1755508, 1533999]",Find articles by Moshe Rozali on the dynamics of driven field theories on Arxiv.,"[1284505, 1710705, 1870181, 1183143, 1554838, 1525725, 1441176, 1542447, 1174268, 1735658, 1690845, 1594545, 1587586, 1862808, 1749353, 1620521, 1505594, 1855464, 1525399, 1232246]","[1174268, 1284505, 1870181, 1183143, 1554838, 1749353, 1710705, 1525725, 1441176, 1542447, 1735658, 1690845, 1594545, 1587586, 1862808, 1620521, 1505594, 1855464, 1525399, 1232246]"
4326,"[1636523, 1741727]",Are there any papers from CMR Institute of Technology authors regarding single-electron transistor modeling?,"[1741727, 1636523, 1441775, 1573912, 1449748, 1733831, 1815568, 1715527, 1479218, 1499482, 1264780, 1610739, 1743445, 1488175, 1186323, 1733309, 1646795, 1189992, 1554177, 1189447]","[1741727, 1636523, 1441775, 1573912, 1449748, 1733831, 1815568, 1715527, 1479218, 1499482, 1264780, 1610739, 1743445, 1488175, 1186323, 1733309, 1646795, 1189992, 1554177, 1189447]"
