id,ground_truths,query,original_answers,reranked_answers
6517,"[56241, 55842, 56174, 56263]",Which cell structures are involved in interaction with genes or proteins that are influenced by the medication Travoprost?,"[56174, 56263, 55842, 56241, 55522, 56436, 55635, 127374, 55725, 126701, 55767, 56032, 55898, 126196, 126060, 127330, 124748, 124643, 124443, 55662]","[56174, 56263, 55842, 56241, 55522, 56436, 55635, 127374, 55725, 126701, 55767, 56032, 55898, 126196, 126060, 127330, 124748, 124643, 124443, 55662]"
9996,[10833],Which genes or proteins are expressed exclusively in the pericardium and not in either the dorsal or ventral regions of the thalamus?,"[61, 2773, 3387, 1403, 704, 13628, 1532, 10833, 13398, 2500, 3225, 652, 9724, 79070, 56752, 6424, 35014, 4348, 3624, 9005]","[10833, 1403, 3225, 61, 2773, 3387, 704, 13628, 1532, 13398, 2500, 652, 9724, 79070, 56752, 6424, 35014, 4348, 3624, 9005]"
3630,[15179],Could you suggest any medications effective for treating beriberi that are safe to use with Zopiclone?,"[14982, 15441, 15570, 14137, 15534, 15099, 15319, 15430, 17318, 15692, 15472, 15835, 15369, 15421, 15454, 14609, 15090, 14893, 14979, 15416]","[15570, 14137, 15534, 15099, 15319, 15430, 17318, 15692, 15472, 15835, 15369, 15421, 15454, 14609, 15090, 14893, 14979, 15416, 14982, 15441]"
10252,"[43, 2140]",Which gene or protein responsible for coding the regulatory component of PI3K is known to engage with elements of the pathways for FGFR1c and Klotho complex signal transduction?,"[43, 1641, 13070, 729, 150, 34796, 1687, 22000, 2821, 12380, 33909, 6468, 799, 2036, 9004, 2140, 2447, 57057, 34410, 2050]","[43, 729, 12380, 33909, 799, 2036, 1641, 13070, 150, 34796, 1687, 22000, 2821, 6468, 9004, 2140, 2447, 57057, 34410, 2050]"
5142,[30638],Which autosomal dominant diseases are linked to the development of supernumerary breast tissue?,"[38395, 30638, 32617, 38422, 29485, 30770, 38183, 28347, 38445, 29037, 28240, 38184, 30670, 28228, 98440, 36280, 97883, 97789, 28843, 98594]","[38395, 30638, 29485, 30770, 38183, 38445, 29037, 28240, 38184, 30670, 98440, 97883, 97789, 28843, 32617, 38422, 28347, 28228, 36280, 98594]"
1755,[62592],"Please find a metabolic process that either precedes or follows hyaluronan absorption and breakdown, and is involved in its metabolism or signaling cascades.","[47408, 106871, 106670, 47288, 100733, 100813, 45341, 40488, 40864, 106537, 45556, 46256, 106536, 52282, 106870, 48983, 45126, 41134, 50160, 110220]","[50160, 47408, 106871, 106670, 47288, 100733, 100813, 45341, 40488, 40864, 106537, 45556, 46256, 106536, 52282, 106870, 48983, 45126, 41134, 110220]"
5686,[59232],Please find genes or proteins that bind to clathrin and also interact with the FAT3 protein.,"[59232, 3643, 9934, 11901, 4124, 5861, 11236, 60201, 4272, 3840, 34843, 3902, 8450, 3380, 10348, 2582, 2213, 2995, 5990, 1110]","[59232, 9934, 11901, 5861, 11236, 4272, 3902, 8450, 3380, 10348, 2582, 2213, 2995, 5990, 3643, 4124, 60201, 3840, 34843, 1110]"
7969,"[52067, 53456, 46931, 40628, 103931]",Which biological process shares a similar interaction pattern with genes or proteins to that of 7-methylguanosine cap hypermethylation?,"[103931, 114169, 106170, 52769, 46931, 40445, 52483, 113522, 45553, 104646, 115025, 113756, 104645, 41550, 42246, 53490, 108358, 44148, 100416, 53316]","[103931, 52769, 114169, 106170, 46931, 40445, 52483, 113522, 45553, 104646, 115025, 113756, 104645, 41550, 42246, 53490, 108358, 44148, 100416, 53316]"
6641,[18223],"Would you be able to provide information on whether the specified medication acts on genes or proteins that play a role in the signaling pathways of blood clotting receptors, particularly those associated with protein tyrosine kinase activator activity, given the importance of anticoagulation for specific medical conditions?","[4315, 8256, 4999, 7183, 1722, 8974, 7880, 4152, 8192, 12431, 13807, 5292, 8212, 1650, 7474, 34250, 3057, 29, 1618, 5938]","[8256, 4999, 1722, 34250, 5938, 7183, 8974, 7880, 13807, 1650, 3057, 29, 1618, 12431, 4315, 4152, 8192, 5292, 8212, 7474]"
10271,"[14330, 14505, 14508, 14512, 14522, 14141]",Identify a medication that shares a similar gene or protein carrier with Pegaspargase and is indicated for the treatment of neurological conditions.,"[14503, 21460, 17539, 21531, 21535, 16512, 19644, 21534, 14695, 21537, 15017, 20488, 21538, 21536, 21530, 15394, 21532, 21539, 17774, 16842]","[21460, 17539, 19644, 21534, 21537, 15017, 20488, 21538, 21536, 21530, 15394, 21532, 21539, 17774, 16842, 14503, 21531, 21535, 16512, 14695]"
10069,[111],"Identify the common genetic targets that interact with both N-[(2',4'-Difluoro-4-hydroxy-5-iodobiphenyl-3-yl)carbonyl]-beta-alanine and 2-(2,6-Dichlorophenyl)-1,3-benzoxazole-6-carboxylic acid.","[111, 29, 9495, 8038, 4640, 244, 7558, 3996, 5137, 4985, 2805, 4508, 2158, 9075, 1831, 8414, 11009, 2819, 6747, 413]","[111, 29, 9495, 8038, 4640, 7558, 3996, 5137, 4985, 4508, 11009, 2819, 6747, 413, 244, 2805, 2158, 9075, 1831, 8414]"
768,"[99105, 99106, 99107, 33271, 99109, 30376, 31629, 99247, 94839, 27609]",What diseases associated with chromosomal abnormalities can lead to stunted physical growth and cognitive impairments?,"[31416, 32378, 27376, 27544, 32976, 32102, 33082, 29779, 30465, 32185, 28619, 31066, 27852, 28623, 28296, 28783, 99734, 31944, 27330, 31413]","[31416, 32378, 27544, 27376, 32976, 32102, 33082, 29779, 30465, 32185, 28619, 31066, 27852, 28623, 28296, 28783, 99734, 31944, 27330, 31413]"
3093,"[31754, 27547, 38252]",What condition could be linked to FAM111A gene or protein modifications in individuals with bone sclerosis and denser long bones?,"[27547, 38252, 31754, 30423, 29180, 83869, 36999, 36634, 29646, 94637, 37115, 94638, 33643, 28455, 83870, 38162, 36201, 28774, 38425, 94914]","[27547, 38252, 31754, 30423, 29180, 36999, 36634, 29646, 33643, 83870, 38162, 36201, 28774, 38425, 94914, 83869, 94637, 37115, 94638, 28455]"
9732,"[45193, 47627, 50011, 103928, 112264]",Which biological processes share a similar interaction pattern with genes or proteins as the positive regulation of exoribonuclease activity is observed in?,"[48187, 43635, 109983, 50011, 107636, 50012, 48189, 46239, 48188, 47753, 50795, 110090, 52085, 113179, 46238, 111260, 50070, 40379, 46240, 46879]","[43635, 40379, 48187, 109983, 50011, 107636, 50012, 48189, 46239, 48188, 47753, 50795, 110090, 52085, 113179, 46238, 111260, 50070, 46240, 46879]"
6708,"[94418, 94210, 94316]",Which phenotypic manifestations or effects are associated with the subtype of acute biphenotypic leukemia?,"[94418, 94316, 94210, 86289, 86308, 26281, 22923, 24478, 33749, 22916, 22934, 84993, 22918, 84890, 25620, 94419, 94152, 94308, 85995, 94382]","[94418, 94210, 26281, 22923, 24478, 33749, 22916, 22934, 84993, 22918, 84890, 25620, 94419, 94152, 94308, 85995, 94316, 86289, 86308, 94382]"
5950,[27831],Identify conditions unresponsive to medication that correlate with increased liver iron levels.,"[29761, 27831, 30776, 28176, 30402, 27324, 29390, 28577, 30011, 28183, 27772, 32389, 28134, 29923, 27187, 29810, 89344, 25626, 85501, 85428]","[28176, 30402, 29810, 30776, 30011, 28183, 32389, 29761, 27324, 29390, 28577, 27772, 28134, 29923, 27187, 89344, 25626, 85501, 85428, 27831]"
11077,[29113],Find medical conditions linked to the gene SLC29A3 that should not be treated with the drug Goserelin.,"[29113, 27219, 27933, 28407, 37044, 36043, 35583, 30438, 36453, 37703, 83840, 36923, 28552, 33528, 31109, 99985, 35466, 29642, 83817, 29307]","[37044, 29113, 27219, 27933, 36043, 35583, 30438, 36453, 37703, 83840, 36923, 28552, 33528, 31109, 99985, 35466, 29642, 83817, 29307, 28407]"
4438,"[8034, 57603, 61258, 61259, 61260, 61261, 8878, 61262, 61263, 61264, 61265, 61266, 61267, 61268, 61269, 5874, 57658, 701]","I need to find a gene or protein that interacts with the cis-Golgi network and contributes to the organization of the Golgi apparatus. It should be involved in regulating Golgi structure and function specifically within the Golgi cis cisterna, the Golgi cisterna membrane, and the cis-Golgi network. Can you supply information on any genes or proteins that fit this description?","[6508, 7582, 61261, 12345, 7528, 61258, 61262, 61269, 61263, 61260, 61265, 61264, 61267, 61266, 56666, 6600, 701, 7115, 1542, 11119]","[6508, 7582, 61261, 12345, 7528, 61258, 61262, 61269, 61263, 61260, 61265, 61264, 61267, 61266, 56666, 6600, 701, 7115, 1542, 11119]"
5928,"[24225, 23564, 22757, 22759]",What are the observed effects or phenotypes associated with the subtype of hereditary papillary renal cell carcinoma?,"[24225, 86780, 88947, 88948, 24212, 94409, 86789, 90431, 86796, 94186, 86781, 87974, 90641, 91956, 87503, 89966, 84511, 24226, 22959, 89313]","[88947, 24225, 86780, 88948, 86789, 90431, 86781, 87974, 90641, 91956, 87503, 89966, 24226, 22959, 89313, 24212, 94409, 86796, 94186, 84511]"
8037,"[63952, 64778, 63235, 64876]",Which anatomical structures lack the expression of genes or proteins involved in the interaction with the organization of actin cytoskeleton in postsynaptic terminals?,"[63826, 66747, 64800, 64778, 67302, 64876, 63149, 64799, 64338, 64512, 63180, 65509, 63466, 63680, 63921, 64814, 63584, 63119, 63359, 63431]","[63826, 66747, 64800, 64778, 67302, 64876, 63149, 64799, 64338, 64512, 63180, 65509, 63466, 63680, 64814, 63921, 63584, 63119, 63359, 63431]"
4259,"[13664, 11205, 6887, 5448, 3145, 3147, 11641, 5884, 765]","Could you identify enzymes that bind metal ions, are active in protein polyubiquitination, and play a role in both Antigen processing through Ubiquitination and Proteasome degradation?","[57205, 1513, 5026, 4301, 9859, 5479, 5483, 11989, 13183, 11676, 765, 136, 8, 7234, 4085, 9493, 63108, 63110, 2997, 63109]","[1513, 5026, 4301, 9859, 5479, 5483, 11989, 13183, 11676, 765, 136, 8, 7234, 4085, 9493, 63108, 2997, 63109, 57205, 63110]"
3815,[37440],What conditions should be included in the differential diagnosis for a patient presenting with a breast carcinoma subtype linked to both invasive ductal carcinoma and cystic hypersecretory carcinoma?,"[96661, 36798, 37443, 96143, 96113, 39858, 96467, 37334, 94666, 94693, 35737, 96483, 37655, 96468, 96321, 37440, 97016, 37132, 96589, 96805]","[96661, 36798, 37440, 37443, 37334, 94693, 35737, 37132, 96143, 96113, 39858, 96467, 94666, 37655, 96468, 96321, 97016, 96805, 96483, 96589]"
5496,"[96249, 96941]",What are the diseases derived from cervical benign epithelial neoplasms?,"[96249, 96940, 36081, 36567, 35791, 39706, 96941, 35741, 99582, 99709, 98874, 98909, 95812, 37100, 36402, 37102, 94981, 97265, 36256, 36945]","[96940, 36567, 96941, 99582, 96249, 36081, 35791, 39706, 35741, 99709, 98874, 98909, 95812, 37100, 36402, 37102, 94981, 97265, 36256, 36945]"
5772,"[23162, 23915]",What are the observed effects or phenotypes associated with constrictive pericarditis subtypes?,"[86116, 84948, 23915, 86125, 86128, 86756, 91058, 22859, 84394, 88874, 25447, 94414, 23921, 94441, 88872, 86140, 86121, 26946, 22824, 85857]","[23915, 86116, 86125, 86128, 91058, 22859, 84394, 88874, 25447, 94414, 23921, 94441, 88872, 86140, 86121, 26946, 22824, 85857, 84948, 86756]"
